"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",0.4,4.58333333333333,3.47395833333333,5.69537760416667,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",0.4,2.49287974683544,1.87735363924051,3.12027294303797,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",0.4,3.14453125,2.507705078125,3.77578125,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",0.6,11.27,10.3549375,12.1550625,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",0.6,5.29947916666667,4.13268229166667,6.41927083333333,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",0.6,3.70806962025316,3.09611352848101,4.31882911392405,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",0.6,3.8341796875,3.2345654296875,4.4482568359375,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",0.8,11.815,10.905,12.7275625,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",0.8,5.42708333333333,4.19270833333333,6.58346354166666,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",0.8,3.99426424050633,3.3639042721519,4.62856012658228,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",0.8,3.9109375,3.261279296875,4.532060546875,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",1,11.875,10.9325,12.7825625,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",1,5.08723958333333,3.91266276041667,6.21878255208333,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",1,3.89576740506329,3.24305775316456,4.56115506329114,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",1,3.701171875,3.077734375,4.350810546875,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-1,-0.11702365398407,-1.2034121953845,1.00523913151026,25
